# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 0.50 degrees
# Total Points: 161 x 161 = 25921
# Timestamp: 20260204_125453
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-40.00,4.50,0.00,48.95,918.53,1637.53,0.00,0.00,2158.00,1626.09,1969.41
-40.00,5.00,0.00,54.11,925.64,1633.19,0.00,0.00,2158.00,1620.33,1949.71
-40.00,5.50,0.00,59.21,932.69,1629.13,0.00,-0.00,2158.00,1614.83,1930.17
-40.00,6.00,0.00,64.26,939.66,1625.33,0.00,0.00,2158.00,1609.59,1910.78
-40.00,6.50,0.00,69.27,946.57,1621.79,-0.00,-0.00,2158.00,1604.59,1891.53
-40.00,7.00,0.00,74.23,953.42,1618.51,0.00,0.00,2158.00,1599.85,1872.44
-40.00,7.50,0.00,79.14,960.20,1615.47,-0.00,0.00,2158.00,1595.34,1853.48
-40.00,8.00,0.00,84.01,966.92,1612.67,0.00,0.00,2158.00,1591.08,1834.66
-40.00,8.50,0.00,88.84,973.59,1610.11,0.00,0.00,2158.00,1587.05,1815.96
-40.00,9.00,0.00,93.63,980.19,1607.77,-0.00,0.00,2158.00,1583.26,1797.40
-40.00,9.50,0.00,98.37,986.74,1605.66,-0.00,0.00,2158.00,1579.70,1778.95
-40.00,10.00,0.00,103.08,993.24,1603.76,0.00,0.00,2158.00,1576.37,1760.63
-40.00,10.50,0.00,107.75,999.69,1602.08,0.00,-0.00,2158.00,1573.26,1742.42
-40.00,11.00,0.00,112.39,1006.09,1600.61,0.00,0.00,2158.00,1570.38,1724.32
-40.00,11.50,0.00,116.98,1012.43,1599.34,-0.00,-0.00,2158.00,1567.72,1706.33
-40.00,12.00,0.00,121.55,1018.73,1598.28,-0.00,0.00,2158.00,1565.27,1688.44
-40.00,12.50,0.00,126.08,1024.99,1597.40,-0.00,-0.00,2158.00,1563.04,1670.65
-40.00,13.00,0.00,130.58,1031.20,1596.72,0.00,0.00,2158.00,1561.03,1652.96
-40.00,13.50,0.00,135.05,1037.37,1596.23,0.00,0.00,2158.00,1559.23,1635.36
-40.00,14.00,0.00,139.48,1043.49,1595.93,0.00,0.00,2158.00,1557.64,1617.85
-40.00,14.50,0.00,143.89,1049.58,1595.80,0.00,-0.00,2158.00,1556.25,1600.42
-40.00,15.00,0.00,148.27,1055.62,1595.86,0.00,-0.00,2158.00,1555.08,1583.08
-40.00,15.50,0.00,152.63,1061.63,1596.09,-0.00,0.00,2158.00,1554.10,1565.82
-40.00,16.00,0.00,156.95,1067.61,1596.49,0.00,0.00,2158.00,1553.34,1548.63
-40.00,16.50,0.00,161.26,1073.54,1597.06,-0.00,0.00,2158.00,1552.77,1531.52
-40.00,17.00,0.00,165.53,1079.45,1597.79,-0.00,-0.00,2158.00,1552.40,1514.48
-40.00,17.50,0.00,169.79,1085.32,1598.69,0.00,0.00,2158.00,1552.24,1497.50
-40.00,18.00,0.00,174.02,1091.16,1599.75,0.00,0.00,2158.00,1552.27,1480.59
-40.00,18.50,0.00,178.22,1096.97,1600.98,0.00,-0.00,2158.00,1552.50,1463.75
-40.00,19.00,0.00,182.41,1102.75,1602.35,-0.00,-0.00,2158.00,1552.92,1446.96
-40.00,19.50,0.00,186.58,1108.50,1603.89,0.00,0.00,2158.00,1553.54,1430.22
-40.00,20.00,0.00,190.73,1114.22,1605.57,0.00,0.00,2158.00,1554.36,1413.54
-40.00,20.50,0.00,194.85,1119.92,1607.41,-0.00,0.00,2158.00,1555.36,1396.91
-40.00,21.00,0.00,198.96,1125.60,1609.39,-0.00,0.00,2158.00,1556.56,1380.32
-40.00,21.50,0.00,203.06,1131.24,1611.52,0.00,-0.00,2158.00,1557.96,1363.79
-40.00,22.00,0.00,207.13,1136.87,1613.80,0.00,-0.00,2158.00,1559.54,1347.29
-40.00,22.50,0.00,211.19,1142.48,1616.22,-0.00,-0.00,2158.00,1561.32,1330.83
-40.00,23.00,0.00,215.24,1148.06,1618.79,-0.00,0.00,2158.00,1563.28,1314.41
-40.00,23.50,0.00,219.27,1153.62,1621.49,-0.00,0.00,2158.00,1565.44,1298.02
-40.00,24.00,0.00,223.28,1159.17,1624.34,-0.00,0.00,2158.00,1567.79,1281.66
-40.00,24.50,0.00,227.29,1164.69,1627.32,-0.00,-0.00,2158.00,1570.32,1265.34
-40.00,25.00,0.00,231.28,1170.20,1630.44,0.00,-0.00,2158.00,1573.05,1249.04
-40.00,25.50,0.00,235.26,1175.69,1633.70,-0.00,-0.00,2158.00,1575.97,1232.76
-40.00,26.00,0.00,239.23,1181.17,1637.09,0.00,0.00,2158.00,1579.08,1216.50
-40.00,26.50,0.00,243.18,1186.63,1640.61,0.00,0.00,2158.00,1582.37,1200.27
-40.00,27.00,0.00,247.13,1192.08,1644.27,-0.00,-0.00,2158.00,1585.86,1184.04
-40.00,27.50,0.00,251.07,1197.52,1648.06,-0.00,-0.00,2158.00,1589.54,1167.84
-40.00,28.00,0.00,255.00,1202.94,1651.98,-0.00,0.00,2158.00,1593.41,1151.64
-40.00,28.50,0.00,258.92,1208.36,1656.04,-0.00,0.00,2158.00,1597.47,1135.45
-40.00,29.00,0.00,262.83,1213.76,1660.22,0.00,-0.00,2158.00,1601.72,1119.27
-40.00,29.50,0.00,266.74,1219.15,1664.53,-0.00,0.00,2158.00,1606.17,1103.09
-40.00,30.00,0.00,270.64,1224.54,1668.97,-0.00,-0.00,2158.00,1610.80,1086.92
-40.00,30.50,0.00,274.54,1229.91,1673.54,-0.00,-0.00,2158.00,1615.64,1070.74
-40.00,31.00,0.00,278.43,1235.29,1678.24,-0.00,-0.00,2158.00,1620.66,1054.56
-40.00,31.50,0.00,282.32,1240.65,1683.07,0.00,-0.00,2158.00,1625.88,1038.37
-40.00,32.00,0.00,286.20,1246.01,1688.02,0.00,0.00,2158.00,1631.30,1022.18
-40.00,32.50,0.00,290.08,1251.36,1693.10,-0.00,0.00,2158.00,1636.92,1005.97
-40.00,33.00,0.00,293.95,1256.72,1698.31,0.00,0.00,2158.00,1642.73,989.75
-40.00,33.50,0.00,297.83,1262.07,1703.64,0.00,-0.00,2158.00,1648.74,973.52
-40.00,34.00,0.00,301.70,1267.41,1709.10,-0.00,-0.00,2158.00,1654.96,957.26
-40.00,34.50,0.00,305.58,1272.76,1714.69,0.00,-0.00,2158.00,1661.37,940.99
-40.00,35.00,0.00,309.45,1278.10,1720.41,0.00,0.00,2158.00,1667.99,924.69
-40.00,35.50,0.00,313.32,1283.45,1726.25,-0.00,0.00,2158.00,1674.82,908.36
-40.00,36.00,0.00,317.20,1288.80,1732.21,0.00,-0.00,2158.00,1681.85,892.01
-40.00,36.50,0.00,321.07,1294.15,1738.31,-0.00,0.00,2158.00,1689.08,875.63
-40.00,37.00,0.00,324.95,1299.50,1744.53,0.00,0.00,2158.00,1696.53,859.21
-40.00,37.50,0.00,328.83,1304.86,1750.88,-0.00,0.00,2158.00,1704.19,842.75
-40.00,38.00,0.00,332.71,1310.22,1757.35,0.00,-0.00,2158.00,1712.07,826.26
-40.00,38.50,0.00,336.60,1315.59,1763.96,-0.00,-0.00,2158.00,1720.16,809.73
-40.00,39.00,0.00,3838.00,14889.61,-8098.95,0.00,-0.00,-19690.75,-2874.25,-1318.92
-40.00,39.50,0.00,3838.00,14781.06,-8281.21,0.00,-0.00,-19419.40,-2891.20,-1292.51
-40.00,40.00,0.00,3838.00,14674.77,-8470.53,0.00,0.00,-19153.73,-2908.56,-1265.97
-39.50,-40.00,0.00,-0.00,-0.00,2013.10,503.43,374.63,1315.10,1984.21,2158.00
-39.50,-39.50,0.00,-0.00,0.00,2017.58,482.00,371.89,1321.29,1987.61,2158.00
-39.50,-39.00,0.00,-0.00,0.00,2022.35,460.34,369.13,1327.53,1991.21,2158.00
-39.50,-38.50,0.00,0.00,0.00,2027.40,438.42,366.35,1333.80,1995.04,2158.00
-39.50,-38.00,0.00,-0.00,0.00,2032.73,416.24,363.56,1340.12,1999.10,2158.00
-39.50,-37.50,0.00,0.00,-0.00,2038.37,393.80,360.74,1346.48,2003.38,2158.00
-39.50,-37.00,0.00,-0.00,-0.00,2044.31,371.07,357.91,1352.88,2007.90,2158.00
-39.50,-36.50,0.00,-0.00,-0.00,2050.55,348.06,355.05,1359.33,2012.66,2158.00
-39.50,-36.00,0.00,0.00,0.00,2057.11,324.76,352.17,1365.83,2017.67,2158.00
-39.50,-35.50,0.00,0.00,-0.00,2064.00,301.16,349.27,1372.38,2022.94,2158.00
-39.50,-35.00,0.00,0.00,-0.00,2071.21,277.24,346.35,1378.98,2028.47,2158.00
-39.50,-34.50,0.00,0.00,0.00,2078.77,252.99,343.40,1385.64,2034.28,2158.00
-39.50,-34.00,0.00,-0.00,-0.00,2086.66,228.42,340.43,1392.35,2040.36,2158.00
-39.50,-33.50,0.00,0.00,-0.00,2094.92,203.50,337.44,1399.11,2046.72,2158.00
-39.50,-33.00,0.00,-0.00,-0.00,2103.53,178.22,334.42,1405.93,2053.38,2158.00
-39.50,-32.50,0.00,-0.00,-0.00,2112.52,152.58,331.37,1412.81,2060.34,2158.00
-39.50,-32.00,0.00,0.00,-0.00,2121.90,126.56,328.30,1419.76,2067.62,2158.00
-39.50,-31.50,0.00,0.00,-0.00,2131.66,100.14,325.19,1426.77,2075.22,2158.00
-39.50,-31.00,0.00,0.00,-0.00,2141.83,73.33,322.06,1433.84,2083.15,2158.00
-39.50,-30.50,0.00,0.00,0.00,2152.41,46.09,318.90,1440.98,2091.42,2158.00
-39.50,-30.00,0.00,-0.00,-0.00,2163.41,18.42,315.71,1448.19,2100.05,2158.00
-39.50,-29.50,0.00,0.00,5.88,2165.13,-0.00,311.77,1457.07,2101.90,2158.00
-39.50,-29.00,0.00,-0.00,22.90,2148.64,-0.00,306.47,1469.02,2090.34,2158.00
