# AK Display Point Scan Data
# Axis1: yaw [-40.00, 40.00]
# Axis2: pitch [-40.00, 40.00]
# Fixed: roll = 0.00
# Step: 1.00 degrees
# Total Points: 81 x 81 = 6561
# Timestamp: 20260204_100304
yaw,pitch,Fixed_Axis,TL_X,TL_Y,TR_X,TR_Y,BL_X,BL_Y,BR_X,BR_Y
-39.00,22.00,0.00,209.44,1125.47,1673.95,-0.00,0.00,2158.00,1630.55,1357.98
-39.00,23.00,0.00,217.66,1136.68,1678.80,-0.00,0.00,2158.00,1634.56,1325.26
-39.00,24.00,0.00,225.83,1147.80,1684.23,-0.00,0.00,2158.00,1639.36,1292.66
-39.00,25.00,0.00,233.94,1158.85,1690.23,-0.00,0.00,2158.00,1644.93,1260.16
-39.00,26.00,0.00,242.00,1169.84,1696.80,0.00,0.00,2158.00,1651.29,1227.72
-39.00,27.00,0.00,250.02,1180.77,1703.92,-0.00,0.00,2158.00,1658.43,1195.35
-39.00,28.00,0.00,258.01,1191.66,1711.58,-0.00,0.00,2158.00,1666.36,1163.00
-39.00,29.00,0.00,265.97,1202.50,1719.79,0.00,0.00,2158.00,1675.07,1130.67
-39.00,30.00,0.00,273.90,1213.31,1728.54,0.00,0.00,2158.00,1684.58,1098.34
-39.00,31.00,0.00,281.81,1224.09,1737.82,0.00,-0.00,2158.00,1694.89,1065.98
-39.00,32.00,0.00,289.70,1234.84,1747.62,-0.00,0.00,2158.00,1706.01,1033.58
-39.00,33.00,0.00,297.59,1245.58,1757.96,-0.00,-0.00,2158.00,1717.95,1001.11
-39.00,34.00,0.00,305.46,1256.32,1768.81,-0.00,0.00,2158.00,1730.71,968.55
-39.00,35.00,0.00,313.34,1267.05,1780.20,0.00,0.00,2158.00,1744.32,935.90
-39.00,36.00,0.00,321.22,1277.78,1792.10,-0.00,-0.00,2158.00,1758.77,903.11
-39.00,37.00,0.00,329.10,1288.53,1804.54,-0.00,0.00,2158.00,1774.09,870.18
-39.00,38.00,0.00,337.00,1299.30,1817.50,0.00,-0.00,2158.00,1790.29,837.08
-39.00,39.00,0.00,344.92,1310.08,1830.99,-0.00,0.00,2158.00,1807.39,803.80
-39.00,40.00,0.00,3838.00,14367.32,-8963.13,0.00,-0.00,-18850.69,-3046.60,-1285.63
-38.00,-40.00,0.00,0.00,0.00,2121.75,490.94,379.39,1331.80,2063.48,2158.00
-38.00,-39.00,0.00,-0.00,-0.00,2131.21,448.63,373.75,1344.13,2070.86,2158.00
-38.00,-38.00,0.00,-0.00,0.00,2141.82,405.39,368.03,1356.62,2079.13,2158.00
-38.00,-37.00,0.00,0.00,0.00,2153.63,361.16,362.24,1369.28,2088.36,2158.00
-38.00,-36.00,0.00,-0.00,0.00,2166.69,315.86,356.37,1382.12,2098.57,2158.00
-38.00,-35.00,0.00,-0.00,-0.00,2181.06,269.45,350.41,1395.15,2109.83,2158.00
-38.00,-34.00,0.00,0.00,0.00,2196.78,221.84,344.35,1408.38,2122.19,2158.00
-38.00,-33.00,0.00,-0.00,-0.00,2213.94,172.96,338.20,1421.84,2135.72,2158.00
-38.00,-32.00,0.00,-0.00,0.00,2232.59,122.73,331.94,1435.52,2150.47,2158.00
-38.00,-31.00,0.00,-0.00,-0.00,2252.80,71.05,325.57,1449.45,2166.54,2158.00
-38.00,-30.00,0.00,0.00,-0.00,2274.68,17.84,319.08,1463.64,2184.00,2158.00
-38.00,-29.00,0.00,0.00,22.44,2259.53,-0.00,309.74,1484.03,2174.67,2158.00
-38.00,-28.00,0.00,0.00,55.34,2227.11,-0.00,299.10,1507.26,2152.43,2158.00
-38.00,-27.00,0.00,0.00,87.63,2196.32,-0.00,288.51,1530.35,2130.97,2158.00
-38.00,-26.00,0.00,-0.00,119.35,2167.09,0.00,277.98,1553.34,2110.27,2158.00
-38.00,-25.00,0.00,0.00,150.54,2139.37,0.00,267.48,1576.24,2090.32,2158.00
-38.00,-24.00,0.00,-0.00,181.22,2113.09,-0.00,257.03,1599.06,2071.12,2158.00
-38.00,-23.00,0.00,0.00,211.43,2088.22,-0.00,246.60,1621.81,2052.65,2158.00
-38.00,-22.00,0.00,0.00,241.20,2064.70,0.00,236.20,1644.51,2034.92,2158.00
-38.00,-21.00,0.00,-0.00,270.55,2042.49,0.00,225.81,1667.18,2017.90,2158.00
-38.00,-20.00,0.00,0.00,299.52,2021.56,0.00,215.43,1689.82,2001.61,2158.00
-38.00,-19.00,0.00,0.00,328.12,2001.86,0.00,205.06,1712.46,1986.03,2158.00
-38.00,-18.00,0.00,0.00,356.37,1983.35,0.00,194.69,1735.10,1971.16,2158.00
-38.00,-17.00,0.00,-0.00,384.31,1966.02,-0.00,184.30,1757.75,1957.01,2158.00
-38.00,-16.00,0.00,-0.00,411.96,1949.82,-0.00,173.91,1780.44,1943.56,2158.00
-38.00,-15.00,0.00,-0.00,439.33,1934.73,-0.00,163.49,1803.18,1930.82,2158.00
-38.00,-14.00,0.00,0.00,466.44,1920.73,0.00,153.04,1825.98,1918.80,2158.00
-38.00,-13.00,0.00,0.00,493.32,1907.79,0.00,142.56,1848.85,1907.48,2158.00
-38.00,-12.00,0.00,0.00,519.99,1895.89,-0.00,132.04,1871.81,1896.89,2158.00
